# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1772426637514000000,1772426642775000000,0
workspaceModel.updates.precise.ms,1772426637514000000,1772426642775000000,0
workspaceModel.collect.changes.ms,1772426637514000000,1772426642775000000,0
workspaceModel.check.recursive.update.ms,1772426637514000000,1772426642775000000,0
workspaceModel.update.unloaded.entities.ms,1772426637514000000,1772426642775000000,0
workspaceModel.loading.from.cache.ms,1772426637514000000,1772426642775000000,6
workspaceModel.init.bridges.ms,1772426637514000000,1772426642775000000,0
workspaceModel.to.snapshot.ms,1772426637514000000,1772426642775000000,0
workspaceModel.updates.ms,1772426637514000000,1772426642775000000,0
workspaceModel.updates.count,1772426637514000000,1772426642775000000,0
workspaceModel.initializing.ms,1772426637514000000,1772426642775000000,0
workspaceModel.loading.total.ms,1772426637514000000,1772426642775000000,9
workspaceModel.replace.project.model.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772426637514000000,1772426642775000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772426637514000000,1772426642775000000,0
workspaceModel.save.cache.to.file.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772426637514000000,1772426642775000000,0
workspaceModel.load.cache.from.file.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772426637514000000,1772426642775000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772426637514000000,1772426642775000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772426637514000000,1772426642775000000,0
FileNameCache.queries,1772426637514000000,1772426642775000000,246
FileNameCache.fastMisses,1772426637514000000,1772426642775000000,12
FileNameCache.totalMisses,1772426637514000000,1772426642775000000,12
NonBlockingReadAction.failedExecutionsCount,1772426637514000000,1772426642775000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1772426637514000000,1772426642775000000,173704
AWTEventQueue.dispatchTimeTotalNS,1772426637514000000,1772426642775000000,4385386719
NonBlockingReadAction.failedExecutionTimeUs,1772426637514000000,1772426642775000000,0
NonBlockingReadAction.finalizedExecutionsCount,1772426637514000000,1772426642775000000,15
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772426637514000000,1772426642775000000,52445184
StorageLockContext.competingThreads.90P,1772426637514000000,1772426642775000000,0
FilePageCache.pageFastCacheHits,1772426637514000000,1772426642775000000,15664
FilePageCache.maxCacheSizeInBytes,1772426637514000000,1772426642775000000,244334592
DirectByteBufferAllocator.disposed,1772426637514000000,1772426642775000000,183
FilePageCache.pageHits,1772426637514000000,1772426642775000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772426637514000000,1772426642775000000,52445184
FilePageCache.pageLoadsAboveSizeThreshold,1772426637514000000,1772426642775000000,0
FilePageCache.pageLoads,1772426637514000000,1772426642775000000,229
FilePageCache.totalPageLoadsUs,1772426637514000000,1772426642775000000,50172
FilePageCache.capacityInBytes,1772426637514000000,1772426642775000000,524288000
FilePageCache.totalPageDisposalsUs,1772426637514000000,1772426642775000000,292
FilePageCache.disposedBuffers,1772426637514000000,1772426642775000000,229
DirectByteBufferAllocator.misses,1772426637514000000,1772426642775000000,226
FilePageCache.uncachedFileAccess,1772426637514000000,1772426642775000000,361
StorageLockContext.competingThreads.max,1772426637514000000,1772426642775000000,0
DirectByteBufferAllocator.hits,1772426637514000000,1772426642775000000,3
DirectByteBufferAllocator.reclaimed,1772426637514000000,1772426642775000000,46
FilePageCache.maxRegisteredFiles,1772426637514000000,1772426642775000000,834
StorageLockContext.competingThreads.avg,1772426637514000000,1772426642775000000,0.0
